anycondition_number
10213
19282
14283
33057
49754
182564
7266
850
196424
1660
93017
3322
710
75463
3877
273
6984
199236
139023
14902
9774
4991
1265
40375
3429
8012
47370
51164
16090
1697
323
37247
257886
19053
19687
141823
35206
16500
3007
2481
4975
887
4253
3901
154874
93304
725284
494930
55000
1287
395
25573
5180
133006
4576
83104
7388
69475
12877
16558
6590
1882
119010
7114
14147
38323
62929
435453
27512
14847
54548
4017
8901
1342
302227
22389
54357
43454
30823
31148
14068
5867
4521
48041
6011
12304
11512
101186
7134
37379
92042
45840
46947
8867
3444
125524
1872
5930
36031
2373
6674
41304
60820
59415
7182
4126
41519
6963
11444
332209
23910
10847
25149
93
42375
3400
904
1307
16720
426522
4801
37964
1025
2253
21671
9170
7243
6610
9016
16595
5142
725
19101
13923
5622
42295
3213
37762
25559
40351
4296
3128
28704
30103
10741
19534
46518
8592
6495
11012
5651
16559
5839
275
5144
3488
7258
33175
3520
12494
2587
3503
32526
17165
9060
2690
7452
76314
2929
5278
3366
6623
183465
9534
6081
5728
12121
8095
139527
893601
37210
152080
4805
2663
4766
16502
5428
661
42149
849
2123
62241
12530
29627
87240
2252
46550
303
20912
15993
11022
20697
27366
11774
2438
8621
214418
9101
44103
11029
2376
1769
8764
16081
16674
5496
12585
21897
5885
130626
17760
1643
9130
4283
61039
3074
3604
6690
36526
20706
7761
6029
32101
7171
350
67959
19641
22543
25108
12601
18613
721
164540
19050
743
138599
21569
6010
7186
20021
20445
1039
4155
1343
642
2543
39665
31621
16831
17393
2418
1042
1861
9782
7077
9035
15791
14540
13841
15124
9067
9616
5262
12813
43675
3865
153794
5337
3677
12500
14644
15781
2789
661141
19691
17014
1560
27601
4685
9566
177699
22614
22153
5955
316527
11906
16838
17381
39310
17405
3824
70409
6700
5398
12117
3159
8920
207524
5598
80819
61796
13979
68180
5083
5839
15494
58840
18291
38444
2031
118252
2275
24215
4843
15360
54545
34606
14983
2303
12751
12920
12010
44633
21647
2010
28203
2853
6571
30020
6517
55067
4870
25937
47000
5225
26629
788
2690
10179
1287
26805
9302
8857
3453
5298
11421
10820
10462
21228
13623
40826
1286
3921
288
19376
22744
8271
29034
171626
5463
7444
3325
92379
6813
3110
6778
21840
16824
3548
5783
6854
9528
2813
36408
10829
22395
820238
15698
418
18460
1039
23089
104063
168
10650
14251
13572
21311
3233
761
4446
6786
9031
10463
1763
24418
19116
97916
35881
15821
20171
3311
5195
7253
46740
3024
8926
4301
4467
52230
31502
5485
3035
6370
50324
11224
23704
5948
16375
7843
11004
1465
3212
18101
1970
6498
3128
1573
4233
15180
27267
76427
9388
2201
7445
105037
8971
533
14951
26831
9519
27187
