fips,TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart disease_prevalence,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
18027,33147.0,5408.0,5086.0,4205.0,3927.0,3533.0,3962.0,3589.0,2177.0,1260.0,31725.0,736.0,125.0,169.0,41.0,351.0,33147.0,73.0,581.0,15.8,10.1,5.7,0.0,-3.5,-3.5,5465.0,6886.0,5237.0,2808.0,3752.0,55434.0,51021.0,59847.0,16531.0,16084.0,447.0,55434.0,230.8,212.0,80.3,74.4,6.5,6.1,17.10380718,4.185553741,0.653837981,13.03217976,16.45987584,43.12358683,5.0,32777.0,6611.0,541,14,18,27.0,23435.0,45.2,32.0,7499.0,8.5,2001.0,11.5,2702.0,13.2,3091.0,3.3,779.0,5
8025,5858.0,353.0,416.0,1140.0,1098.0,1007.0,744.0,555.0,357.0,188.0,4828.0,626.0,203.0,72.0,1.0,128.0,5858.0,60.0,2811.0,5.649999999999998,6.7,-2.7,0.0,12.9,12.9,590.0,1615.0,1297.0,372.0,1341.0,35880.0,31913.0,39847.0,1533.0,1466.0,67.0,35880.0,285.7,262.5,95.4,88.9,7.8,7.1,2.977564645,2.311083854,0.091538257,2.574384907,2.80065925,7.496880379,0.0,5514.0,1074.0,235,5,8,25.0,5171.0,42.1,31.9,1650.0,7.2,374.0,7.3,377.0,11.2,577.0,3.2,168.0,6
30043,12097.0,1202.0,1520.0,997.0,1249.0,1476.0,1882.0,2216.0,1177.0,378.0,11495.0,50.0,220.0,61.0,11.0,260.0,12097.0,160.0,230.0,7.7,9.7,-2.0,0.3,15.1,15.5,441.0,2435.0,2764.0,2909.0,922.0,68381.0,61053.0,75709.0,5630.0,5414.0,216.0,68381.0,247.1,236.2,91.5,88.0,9.8,8.850000000000001,5.73930086,4.452513167,0.637700096,3.917300587,6.684463502,13.11840197,0.0,11625.0,3437.0,36,26,30,43.0,9631.0,37.3,29.0,2793.0,7.2,698.0,6.7,642.0,10.5,1008.0,3.0,291.0,5
13009,44823.0,4445.0,6782.0,8333.0,4873.0,4730.0,5672.0,5234.0,3193.0,1561.0,24221.0,14199.5,148.0,756.0,36.0,569.0,44823.0,-98.0,5349.75,8.7,10.9,-2.2,0.6,-0.5,0.1,4375.0,10205.0,7611.0,5869.0,9313.0,42727.0,38993.0,46461.0,17286.0,16415.0,871.0,42727.0,228.7,202.9,79.1,71.9,7.0,6.1,20.51649393,14.17619425,0.617838343,21.21102945,14.53411439,54.48908087,12.0,45527.0,9287.0,1,10,13,9.0,36412.0,48.9,36.0,13108.0,8.1,2945.0,9.1,3306.0,14.9,5419.0,3.6,1319.0,5
29203,8189.0,912.0,1010.0,843.0,838.0,852.0,1264.0,1191.0,864.0,415.0,7811.0,43.0,103.0,23.0,6.0,203.0,8189.0,-50.0,80.0,10.7,10.6,0.1,0.0,-6.1,-6.1,1113.0,2468.0,1311.0,915.0,1829.0,32715.0,29580.0,35850.0,3241.0,3079.0,162.0,32715.0,273.1,236.3,86.6,79.0,7.0,6.3,4.567376517,0.888880709,0.163072852,5.094021629,3.657109204,14.52284046,0.0,8273.0,2279.0,1023,25,29,203.0,6430.0,52.7,37.1,2386.0,11.8,757.0,14.1,908.0,16.0,1029.0,4.3,274.0,6
20077,5506.0,755.0,722.0,522.0,606.0,561.0,671.0,777.0,503.0,389.0,5234.0,32.0,78.0,27.0,14.0,121.0,5506.0,-77.0,129.0,10.3,17.1,-6.9,0.4,-7.4,-7.0,377.0,1576.0,1311.0,674.0,766.0,45570.0,41120.0,50020.0,2748.0,2669.0,79.0,45570.0,227.6,206.5,88.0,80.5,6.8,6.3,3.105216031,1.573410315,0.262865425,2.278797392,3.383210401,7.210833572,0.0,5746.0,1672.0,645,16,20,77.0,4134.0,47.5,38.0,1571.0,9.2,382.0,9.3,384.0,13.5,559.0,3.6,148.0,6
38097,8037.0,995.0,1082.0,935.0,882.0,882.0,1113.0,1025.0,610.0,513.0,7633.0,73.0,114.0,48.0,2.0,167.0,8037.0,19.0,312.0,12.6,11.1,1.5,0.9,0.0,0.9,396.0,1382.0,2183.0,1449.0,630.0,59931.0,55069.0,64793.0,4444.0,4327.0,117.0,59931.0,237.6,217.1,87.0,79.6,10.400000000000002,8.850000000000001,4.832285413,2.400281814,0.412383219,3.711448972,6.206896143,9.548257611,0.0,8050.0,2056.0,1278,34,38,97.0,6201.0,45.3,36.0,2232.0,7.5,463.0,6.2,388.0,10.5,653.0,2.9,183.0,6
48455,14740.0,1575.0,1648.0,1401.0,1422.0,1517.0,2057.0,2437.0,1818.0,865.0,12862.0,1378.0,132.0,83.0,7.0,278.0,14740.0,30.0,138.0,9.6,15.1,-5.5,1.0,6.7,7.6,1772.0,4005.0,3538.0,1365.0,2581.0,40486.0,36300.0,44672.0,5346.0,5071.0,275.0,40486.0,224.8,199.9,72.9,66.5,6.2,5.4,5.084202775,3.000706749,0.268589702,5.577216378,4.936298694,17.40851572,0.0,14481.0,5058.0,216,43,48,280.0,11786.0,54.0,38.2,4502.0,11.7,1376.0,11.5,1352.0,17.0,2006.0,4.4,514.0,5
25019,11327.0,1391.0,1180.0,1333.0,1740.0,1707.0,1585.0,1315.0,669.0,407.0,9653.0,1209.0,47.0,191.0,4.0,223.0,11327.0,57.0,56.0,14.3,4.8,9.6,3.25,-14.0,-4.5,380.0,1476.0,2021.0,4148.0,669.0,81540.125,75818.25,86579.375,7526.0,7194.0,332.0,81540.125,355.6,297.4,119.85000000000002,108.65,9.6,7.3,10.27974447,3.55458597,0.123081232,15.08647683,3.234574768,34.00652377,0.0,10912.0,2283.0,828,21,25,19.0,8929.0,32.8,26.5,2366.0,5.5,488.0,5.0,448.0,8.1,726.0,2.5,222.0,6
37117,22671.0,2451.0,2606.0,2454.0,2197.0,2556.0,3206.0,3624.0,2351.0,1226.0,12513.0,9585.0,111.0,127.0,43.0,292.0,22671.0,-105.0,145.0,10.3,13.4,-3.1,0.0,-1.5,-1.5,2767.0,5712.0,5301.0,2788.0,4571.0,43569.0,40721.0,46417.0,9295.0,8832.0,463.0,43569.0,255.0,223.5,86.2,78.1,7.1,6.2,10.29882709,9.261739355,0.244534372,11.0367969,8.785770666,32.70428897,6.0,23227.0,6835.0,318,33,37,117.0,18084.0,54.7,39.6,7161.0,10.4,1887.0,10.8,1959.0,18.2,3294.0,4.5,810.0,6
18089,153337.625,18321.75,19993.875,20545.0,18936.5,18433.375,20668.625,19561.5,12508.875,6449.875,133951.25,14199.5,1555.5,2080.125,165.0,3472.5,153337.625,-355.0,5349.75,11.2,10.3,0.8,0.3,-1.8,-1.5,12888.375,33826.25,32587.75,24439.25,21097.625,55280.0,53202.0,57358.0,71711.0,68788.25,2889.5,55280.0,230.8,212.0,80.3,74.4,6.5,6.1,79.88024761137498,42.782360291625,2.9057676592500004,84.99048587812501,70.31241441825,237.56324629249997,30.0,152301.375,36043.5,182,14,18,89.0,119360.25,50.5,40.9,41743.75,7.7,9742.25,9.4,10595.0,14.7,14916.5,3.4,3968.5,2
1081,153337.625,18321.75,19993.875,20545.0,18936.5,18433.375,18752.0,15105.0,8719.0,3912.0,115690.0,14199.5,611.0,2080.125,148.0,2764.0,153337.625,868.25,4958.0,11.5,6.8,4.6,2.1,7.4,9.5,9049.0,22855.0,30707.0,24439.25,21097.625,48937.0,44909.0,52965.0,71711.0,68788.25,2703.0,48937.0,217.1,196.7,77.2,71.2,7.6,6.9,79.88024761137498,17.94409775,2.9057676592500004,76.63974458,62.65341045,212.7130241,28.0,152301.375,24513.0,40,0,1,81.0,119360.25,42.7,32.1,41424.0,6.3,8188.0,7.2,9275.0,11.2,14475.0,2.8,3551.0,4
19163,153337.625,18321.75,19993.875,20545.0,18936.5,18433.375,20668.625,19561.5,11805.0,6449.875,133951.25,13586.0,675.0,2080.125,123.0,3472.5,153337.625,591.0,3408.0,12.2,8.6,3.6,1.6,-1.8,-0.1,8215.0,33826.25,32587.75,24439.25,21030.0,59865.0,56196.0,63534.0,71711.0,68788.25,2567.0,59865.0,218.2,193.1,84.8,77.9,6.9,6.5,79.88024761137498,42.782360291625,2.9057676592500004,70.16650819,70.31241441825,224.3900775,30.0,152301.375,36043.5,155,15,19,163.0,119360.25,44.0,36.7,41743.75,6.6,8722.0,6.4,8426.0,9.9,13153.0,2.8,3731.0,3
13313,104062.0,14094.0,15540.0,14190.0,13285.0,13481.0,13279.0,10197.0,6563.0,3433.0,94387.0,4539.0,1498.0,1651.0,165.0,1759.0,104062.0,-1.0,1062.0,12.8,8.0,4.8,0.1,-4.9,-4.8,12888.375,19304.0,16488.0,10491.0,14567.0,47074.0,43805.0,50343.0,45256.0,43107.0,2149.0,47074.0,228.7,202.9,79.1,71.9,7.0,6.1,47.63151488,32.91174455,1.434386222,49.24396284,33.74269933,126.5029724,30.0,103963.0,18625.0,442,10,13,280.0,77192.0,45.1,31.7,24470.0,8.2,6299.0,9.5,7307.0,14.0,10829.0,3.4,2634.0,4
48223,36810.0,4825.0,5082.0,4406.0,4293.0,4337.0,4806.0,4450.0,3000.0,1611.0,32690.0,2719.0,361.0,262.0,47.0,731.0,36810.0,317.0,443.0,12.0,11.4,0.7,0.0,7.9,8.0,3956.0,8800.0,7090.0,4449.0,5320.0,52079.0,48297.0,55861.0,17354.0,16770.0,584.0,52079.0,224.8,199.9,72.9,66.5,6.2,5.4,12.69670992,7.493623842,0.670745382,13.92790603,12.32735108,43.47404775,10.0,35929.0,8258.0,718,43,48,223.0,27742.0,50.1,38.3,10625.0,9.0,2507.0,9.2,2559.0,13.9,3857.0,3.5,984.0,5
27119,31529.0,4279.0,4193.0,3753.0,3954.0,3275.0,4168.0,3964.0,2284.0,1659.0,29004.0,903.0,563.0,363.0,9.0,687.0,31529.0,-176.0,1260.0,13.6,10.3,3.3,1.5,-10.4,-8.9,1726.0,6837.0,7522.0,5115.0,3654.0,60180.0,56180.0,64180.0,16786.0,16171.0,615.0,60180.0,302.7,265.0,104.9,96.0,7.4,6.6,16.18260975,10.18155864,0.713608138,18.06496193,19.70007979,52.72271781,5.0,31564.0,7554.0,149,23,27,119.0,23900.0,43.3,33.3,7959.0,7.1,1694.0,6.1,1465.0,10.3,2466.0,3.0,722.0,4
22069,38659.0,5003.0,5955.0,6958.0,4085.0,3820.0,4255.0,4199.0,2862.0,1522.0,21104.0,14199.5,422.0,249.0,16.0,898.0,38659.0,-379.0,2192.0,13.6,10.2,3.4,0.3,-13.5,-13.2,3123.0,8097.0,7787.0,4129.0,11951.0,36298.0,32217.0,40379.0,16527.0,15566.0,961.0,36298.0,260.3,231.8,84.1,75.8,9.1,7.8,19.61165396,6.363002787,1.310761982,20.79797651,14.86636375,62.16164261,8.0,39051.0,8279.0,770,18,22,69.0,29596.0,49.5,37.0,10951.0,9.2,2724.0,10.6,3141.0,15.5,4584.0,3.9,1165.0,5
21081,25121.0,3632.0,3669.0,3175.0,3051.0,3282.0,3392.0,2651.0,1632.0,637.0,24340.0,247.0,66.0,127.0,41.0,300.0,25121.0,121.0,456.0,15.7,9.9,5.9,-0.2,-0.8,-1.0,2158.0,7759.0,3854.0,2172.0,3404.0,53965.0,48314.0,59616.0,11729.0,11223.0,506.0,53965.0,230.9,214.6,77.3,72.9,8.3,7.6,16.49471422,5.543213435,0.590301634,11.10329263,10.68164861,36.29511758,0.0,24800.0,4489.0,130,17,21,81.0,18460.0,52.8,40.5,7476.0,9.1,1679.0,11.8,2179.0,14.0,2594.0,3.1,580.0,2
12109,153337.625,18321.75,19993.875,20545.0,18936.5,18433.375,20668.625,19561.5,12508.875,6449.875,133951.25,14082.0,803.0,2080.125,165.0,3472.5,153337.625,868.25,3042.0,8.5,8.1,0.4,1.4,24.299999999999997,24.562499999999996,9024.0,33826.25,32587.75,24439.25,16642.0,81540.125,75818.25,86423.0,71711.0,68788.25,2889.5,81540.125,265.2,240.7,86.8,80.1,6.9,6.0,79.88024761137498,42.782360291625,2.590440636,84.99048587812501,70.31241441825,237.56324629249997,30.0,152301.375,36043.5,328,9,12,109.0,119360.25,38.7,26.3,41743.75,7.5,9742.25,7.7,10595.0,10.3,14916.5,2.9,3968.5,2
17149,15611.0,1874.0,1942.0,1712.0,1814.0,1777.0,2098.0,2113.0,1362.0,919.0,15163.0,226.0,35.0,49.0,6.0,132.0,15611.0,-61.0,489.0,12.1,11.4,0.6,-0.1,-4.5,-4.5,1245.0,4537.0,3558.0,1666.0,2129.0,47815.0,43563.0,52067.0,7256.0,6907.0,349.0,47815.0,284.4,240.5,99.6,87.2,7.0,5.8,6.080912529,3.053321382,0.229121629,11.82488149,7.41765957,26.20073212,0.0,15930.0,4190.0,54,13,17,149.0,12125.0,49.4,35.8,4341.0,9.1,1109.0,10.5,1269.0,12.5,1515.0,3.6,432.0,6
12081,153337.625,18321.75,19993.875,20545.0,18936.5,18433.375,20668.625,19561.5,12508.875,6449.875,133951.25,14199.5,1555.5,2080.125,165.0,3472.5,153337.625,868.25,4810.0,8.9,10.7,-1.9,3.25,21.8,24.562499999999996,12888.375,33826.25,32587.75,24439.25,21097.625,59587.0,57406.0,61768.0,71711.0,68788.25,2889.5,59587.0,265.2,240.7,86.8,80.1,6.9,6.0,79.88024761137498,42.782360291625,2.9057676592500004,84.99048587812501,70.31241441825,237.56324629249997,30.0,152301.375,36043.5,317,9,12,81.0,119360.25,45.4,27.9,41743.75,10.2,9742.25,10.0,10595.0,13.4,14916.5,3.8,3968.5,3
20163,5013.0,614.0,605.0,519.0,551.0,530.0,690.0,707.0,458.0,339.0,4809.0,35.0,30.0,53.0,3.0,83.0,5013.0,-54.0,72.0,12.5,14.3,-1.8,0.2,-9.1,-8.9,358.0,1123.0,1249.0,862.0,550.0,47365.0,42756.0,51974.0,2522.0,2441.0,81.0,47365.0,227.6,206.5,88.0,80.5,6.8,6.3,2.827179071,1.432529225,0.239328801,2.07475687,3.080282191,6.565185016,0.0,5148.0,1392.0,674,16,20,163.0,3896.0,45.7,36.9,1438.0,8.6,334.0,8.6,335.0,12.5,486.0,3.4,131.0,6
27083,25629.0,3800.0,3646.0,3282.0,3354.0,2791.0,3055.0,2843.0,1621.0,1237.0,22932.0,886.0,200.0,1174.0,17.0,420.0,25629.0,-324.0,900.0,13.9,8.7,5.2,3.25,-22.1,-17.9,1316.0,5481.0,5540.0,4205.0,3009.0,57690.0,52381.0,62999.0,14818.0,14392.0,426.0,57690.0,302.7,265.0,104.9,96.0,7.4,6.6,13.15436916,8.276290598,0.58007114,14.68447807,16.01361746,42.85675203,0.0,25789.0,5263.0,603,23,27,83.0,19014.0,42.8,35.3,6712.0,6.8,1286.0,5.8,1101.0,9.8,1858.0,2.9,546.0,5
21089,35268.0,3924.0,4272.0,3894.0,3907.0,4540.0,4766.0,4881.0,3273.0,1811.0,34211.0,295.0,124.0,215.0,6.0,417.0,35268.0,-223.0,454.0,9.6,13.7,-4.1,0.0,-2.2,-2.2,2957.0,9361.0,8724.0,4373.0,5747.0,49457.0,44800.0,54114.0,13459.0,12564.0,895.0,49457.0,230.9,214.6,77.3,72.9,8.3,7.6,23.15734171,7.782255938,0.828739223,15.58819014,14.99623355,50.95562306,0.0,36012.0,9521.0,715,17,21,89.0,27733.0,57.3,38.5,10677.0,10.5,2909.0,12.5,3458.0,14.5,4030.0,3.6,986.0,3
