fips,TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart disease_prevalence,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
48431,1311,205,197,136,176,167,149,140,74,67,1226,28,27,7,1,22,1311,10,35,11.5,15.3,-3.8,1.5,10.0,11.5,110,359,189,124,161,59064,52761,65367,582,563,19,59064,224.8,199.9,72.9,66.5,6.2,5.4,0.452197411,0.266887826,0.023888813,0.496046857,0.439042577,1.548342206,0,1139,217,1630,43,48,431,938,47.5,36.5,342,7.9,74,7.4,70,13.2,124,3.3,31,6
29127,28592,3625,3795,3683,3412,3291,3693,3548,2131,1414,26222,1381,70,214,26,679,28592,-21,1371,11.9,10.3,1.6,0.5,-2.8,-2.3,2225,7348,5664,4023,3686,49393,45217,53569,14450,14003,447,49393,273.1,236.3,86.6,79.0,7.0,6.3,15.94705451,3.103538557,0.569370983,17.78584277,12.76884435,50.70668635,8,28703,6636,46,25,29,127,21943,44.3,35.0,7680,8.6,1878,9.9,2168,12.1,2647,3.3,717,5
39105,23106,2538,2871,2400,2668,2884,3385,3322,1938,1100,22471,217,69,54,3,292,23106,25,212,10.7,11.3,-0.7,-0.3,2.1,1.9,2855,6919,4665,2125,4064,44286,41008,47564,8876,8232,644,44286,292.7,248.6,93.7,83.7,8.3,7.1,11.93702266,4.419801732,0.38347117,15.6274385,10.68579972,45.03216595,0,23234,5978,1302,35,39,105,18174,55.3,37.4,6797,10.5,1911,12.8,2321,15.3,2790,3.8,684,6
35015,57900,8622,8193,7782,8024,6412,6893,6334,3474,2166,53739,1139,1404,506,84,1028,57900,695,995,13.9,9.3,4.6,1.9,5.6,7.5,5740,13656,11718,5904,8981,58320,52894,63746,31376,30331,1045,58320,244.8,213.8,91.1,82.1,7.7,7.3,28.23948139,14.70000401,1.132895046,27.05132317,31.36185066,79.96581128,12,56793,11808,1140,31,35,15,42556,47.2,36.9,15703,6.7,2851,6.5,2769,12.2,5176,3.1,1332,5
21159,11323,1145,1278,1531,1765,1474,1521,1414,785,410,10401,757,47,24,2,92,11323,-172,1384,9.1,12.9,-3.8,-0.1,-11.2,-11.3,2292,3312,2120,714,3875,28925,25781,32069,2788,2607,181,28925,230.9,214.6,77.3,72.9,8.3,7.6,7.434801524,2.498539299,0.266071629,5.004680644,4.814629481,16.35960417,0,12175,2520,318,17,21,159,9103,60.3,45.3,4124,10.5,960,13.8,1254,16.0,1454,3.6,331,6
1107,19938,2107,2261,2602,2524,2371,2923,2568,1671,911,11530,8019,48,67,67,207,19938,-244,1776,10.7,11.0,-0.3,0.1,-12.1,-12.0,2829,5352,4425,1959,4177,37586,33665,41507,7805,7449,356,37586,217.1,196.7,77.2,71.2,7.6,6.9,10.34861722,2.182305957,0.411986732,9.320689928,7.619715005,25.86950351,4,20170,4974,53,0,1,107,16017,56.0,41.9,6711,10.1,1612,11.1,1784,18.0,2883,4.2,669,4
48081,3370,395,398,331,340,303,467,488,410,238,3186,30,85,5,1,63,3370,67,35,11.1,14.4,-3.3,0.0,23.1,23.1,396,867,782,422,469,44804,39903,49705,1454,1405,49,44804,224.8,199.9,72.9,66.5,6.2,5.4,1.162399142,0.686050322,0.061407551,1.275116634,1.128583894,3.980101628,0,3238,1085,1527,43,48,81,2661,49.7,34.8,926,10.8,288,9.8,262,15.2,404,4.0,107,6
8031,716492,82069,72167,128204,146428,95357,73894,63871,34850,19652,578904,70404,12900,29369,1410,23505,716492,11053,16311,13.5,6.9,6.6,2.6,6.3,8.8,64043,84265,110388,237877,82104,68069,65476,70662,412817,399671,13146,68069,285.7,262.5,95.4,88.9,7.8,7.1,364.1859419,282.6686741,11.1960445,314.8730268,342.5486424,916.9434648,227,678467,109403,238,5,8,31,576566,29.2,22.6,130304,4.6,26398,4.6,26425,7.0,40637,2.4,13941,1
13245,201554,26291,26266,34907,27563,21408,24529,22269,12132,6189,75972,115142,882,3654,470,5434,201554,94,11893,14.2,10.0,4.2,0.3,-3.9,-3.6,21762,40319,41090,27954,41554,40168,37735,42601,86626,82166,4460,40168,228.7,202.9,79.1,71.9,7.0,6.1,92.25579318,63.74559168,2.77821184,95.37888649,65.35503854,245.0191242,264,201568,38152,416,10,13,245,155491,49.4,37.1,57687,7.6,11777,8.5,13230,15.9,24796,3.7,5705,3
18115,5844,566,648,572,633,688,981,873,605,278,5712,35,15,19,1,62,5844,-1,52,8.4,12.5,-4.1,0.0,3.9,3.9,541,2005,1244,603,560,58022,52281,63763,3201,3089,112,58022,230.8,212.0,80.3,74.4,6.5,6.1,3.015496098,0.737936346,0.115275264,2.297645594,2.90196743,7.602927609,0,5911,1568,558,14,18,115,4733,45.6,32.3,1529,8.3,395,10.1,480,12.9,613,3.2,149,2
39161,28281,3496,3692,3351,3247,3316,3809,3664,2283,1423,27388,316,76,92,4,405,28281,-10,396,12.7,10.6,2.1,0.5,-3.0,-2.5,1736,8923,5557,3131,2344,54331,49999,58663,14362,13856,506,54331,292.7,248.6,93.7,83.7,8.3,7.1,14.61053137,5.409695005,0.469356364,19.12748153,13.07907478,55.11792111,5,28262,6946,1313,35,39,161,21690,48.7,38.0,8242,8.6,1869,9.8,2129,12.6,2728,3.2,690,5
